timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1756022400000,114888.19,115060.99,114600.0,114730.22,2223.47925,1756036799999,255263363.45455190,267625,995.18062000,114257369.62055180,0
1756036800000,114730.22,114869.41,114350.57,114400.0,2662.01905,1756051199999,305089212.15292840,339333,1116.24094000,127945653.39436890,0
1756051200000,114400.01,114917.1,110680.0,112600.0,8322.01988,1756065599999,943283691.76260140,791837,3650.90078000,413888935.50766550,0
1756065600000,112600.0,113692.97,111632.85,113493.59,4256.85481,1756079999999,480151576.49346460,677561,1967.74719000,222016520.62081160,0
1756080000000,113493.59,113667.28,112159.0,112916.84,2384.9729,1756094399999,269655699.25748960,665721,1121.82787000,126832729.81323790,0
1756094400000,112916.84,113059.52,111284.05,111511.55,4054.02521,1756108799999,454597068.91029520,667424,1925.81482000,215964679.10904130,0
1756108800000,111511.56,111850.13,110929.48,111214.97,4028.25788,1756123199999,448564942.27145510,624668,1929.68354000,214949901.61912730,0
1756123200000,111214.97,112580.0,110588.0,112200.64,4593.3206,1756137599999,513032034.67396390,914685,2398.82756000,267986773.11341450,0
1756137600000,112200.65,112937.26,110655.01,110716.13,3109.40411,1756151999999,348208706.36696460,685712,1261.82967000,141419773.48185360,0
1756152000000,110716.13,111092.54,109274.1,110111.98,7012.81309,1756166399999,771512202.15085460,1137508,2749.59824000,302509128.20750530,0
1756166400000,110111.98,110111.98,108666.66,109879.56,4155.39206,1756180799999,455011698.22493690,1097720,1983.06646000,217185031.08963400,0
1756180800000,109879.57,110547.31,109765.93,110303.2,1910.05232,1756195199999,210359826.37700550,624551,1025.54731000,112960716.09120120,0
1756195200000,110303.2,110455.13,109570.34,109876.52,1852.10166,1756209599999,203892967.45228500,344139,870.12354000,95800304.58410740,0
1756209600000,109876.53,110818.6,109393.93,109666.33,4559.68511,1756223999999,501940355.73113050,1065558,2450.01989000,269746462.00346270,0
1756224000000,109666.34,111162.59,109450.0,111116.03,3548.51055,1756238399999,391349262.89399800,569890,2212.50107000,244219208.03903890,0
1756238400000,111116.03,112371.0,110918.26,111763.22,2426.69707,1756252799999,270883236.82058330,375616,1322.17330000,147556771.78951970,0
1756252800000,111763.22,111825.16,110918.26,111418.15,2172.27313,1756267199999,241949639.30677750,410582,925.30522000,103068605.98792800,0
1756267200000,111418.15,111737.26,110622.5,110725.18,1809.80294,1756281599999,201194156.60015460,370060,762.79756000,84846421.76324390,0
1756281600000,110725.19,111374.45,110345.42,111322.07,1594.26753,1756295999999,176776430.32148620,317061,785.60547000,87145518.07569220,0
1756296000000,111322.07,112625.0,111019.02,112000.0,3310.1006,1756310399999,369950416.97553700,824967,1672.05486000,186863860.89385300,0
1756310400000,111999.99,112600.0,111541.23,112080.69,1902.42552,1756324799999,213222697.39975690,506775,907.01397000,101668324.69289520,0
1756324800000,112080.68,112452.05,110921.79,111262.01,2603.73903,1756339199999,290681586.58711960,682051,1209.06842000,134993612.76386730,0
1756339200000,111262.01,112042.04,110862.42,112000.01,1203.77782,1756353599999,134253218.26864630,375072,597.52028000,66649542.65631200,0
1756353600000,112000.0,113360.0,111945.07,113114.11,2481.91862,1756367999999,280232965.37310330,395525,1238.58901000,139818288.77542760,0
1756368000000,113114.11,113351.51,112826.22,112909.18,1419.04336,1756382399999,160395511.26407400,164734,540.02909000,61048034.11729170,0
1756382400000,112909.18,113485.9,112391.56,112678.53,3088.9335,1756396799999,348792906.07042900,597709,1381.73513000,156076823.95085140,0
1756396800000,112678.53,113186.56,111901.35,111901.36,1813.29699,1756411199999,203973679.42619300,360972,798.74966000,89870954.53001890,0
1756411200000,111901.36,112575.98,111872.06,112566.9,1097.30715,1756425599999,123140201.54287620,172768,582.84192000,65402359.65391320,0
1756425600000,112566.9,112638.64,111302.27,111704.23,2123.00621,1756439999999,237282218.20052350,405287,965.39965000,107902817.37234550,0
1756440000000,111704.24,111850.56,109899.99,110019.38,4260.9718,1756454399999,472460597.88746470,499168,1929.05760000,213853323.43897240,0
1756454400000,110019.38,110270.3,109414.18,110098.81,2848.31026,1756468799999,313002938.91835020,448903,1604.11242000,176286557.33932710,0
1756468800000,110098.81,111517.07,108103.0,108386.23,7729.2804,1756483199999,845034516.96281830,1246052,3797.67907000,415295549.56517970,0
1756483200000,108386.23,108832.0,107934.24,108212.01,2605.64538,1756497599999,282494047.12716180,591209,1064.08261000,115386931.30598950,0
1756497600000,108212.01,108549.99,107463.9,108377.4,3013.0964,1756511999999,325218173.48121120,416340,1256.02509000,135596334.08264290,0
1756512000000,108377.4,108436.21,107350.1,108436.2,3244.13736,1756526399999,350563966.56231610,430111,1572.81933000,169958646.69980130,0
1756526400000,108436.21,108697.28,108120.0,108524.26,3052.32523,1756540799999,330960187.67573420,285923,1928.41443000,209129100.05219530,0
1756540800000,108524.26,108777.43,108400.0,108680.01,1416.9539,1756555199999,153824302.46667540,167658,803.45769000,87222342.94688020,0
1756555200000,108680.01,108926.15,108190.52,108869.98,1540.53972,1756569599999,167213327.05550190,272361,744.34436000,80816639.28406480,0
1756569600000,108869.98,108900.0,108625.46,108828.33,677.58629,1756583999999,73708948.90090160,133138,358.75258000,39025143.87433790,0
1756584000000,108828.32,108838.27,108468.77,108816.33,776.84909,1756598399999,84396040.07762310,121849,389.38944000,42305921.98612150,0
1756598400000,108816.33,109480.02,108801.35,109223.84,1756.83146,1756612799999,191851864.51821470,262048,907.25205000,99101944.62700990,0
1756612800000,109223.84,109231.41,108523.49,108708.26,1177.25929,1756627199999,128038261.11718590,168415,433.77972000,47170551.15249270,0
1756627200000,108708.25,109100.0,108303.21,108389.76,1590.89462,1756641599999,172733411.24566250,234357,619.64134000,67289247.58149260,0
1756641600000,108389.77,108858.43,108191.29,108818.69,2441.88905,1756655999999,264753055.11295950,277584,1270.38908000,137781179.95396140,0
1756656000000,108818.69,109237.51,108555.0,108930.0,1232.50315,1756670399999,134226505.07892460,189011,701.32991000,76368930.44484660,0
